batch,channel,real,imag
8,1,0.00305176,-0.000244141
8,2,0.000244141,-0.00012207
8,3,0.000366211,-0.0032959
8,4,-0.000732422,-0.00305176
8,5,0,-0.000732422
8,6,-0.00109863,-0.0012207
8,7,-0.00463867,-0.0032959
8,8,-0.00170898,-0.0114746
8,9,-0.00317383,0.00109863
8,10,-0.00292969,-0.00427246
8,11,-0.000732422,0.00134277
8,12,0.00366211,-0.00305176
8,13,-0.00500488,0.00341797
8,14,0.000976562,-0.0045166
8,15,-0.00390625,0.00134277
8,16,0.00268555,0.00341797
8,17,0,0.00109863
8,18,-0.00305176,0.00280762
8,19,-0.00134277,0.00378418
8,20,-0.00585938,0.0032959
8,21,0.00012207,0.00292969
8,22,-0.00012207,0.000732422
8,23,-0.00524902,0.00427246
8,24,-0.00012207,0.00305176
8,25,0.00317383,0.000854492
8,26,0.00134277,-0.00292969
8,27,-0.00292969,-0.00549316
8,28,-0.0020752,0.00170898
8,29,-0.000976562,0.00195312
8,30,0.00158691,0.00341797
8,31,-0.00219727,-0.0020752
8,32,-0.00439453,0.00219727
8,33,0.000244141,0.00012207
8,34,0.000610352,-0.000610352
8,35,-0.00134277,-0.000488281
8,36,0.000366211,0.00256348
8,37,0.00012207,0.00134277
8,38,0.000366211,-0.00378418
8,39,-0.00585938,0.000366211
8,40,-0.000854492,0.00195312
8,41,-0.00219727,0.000244141
8,42,-0.000488281,-0.00598145
8,43,0.00109863,0.000244141
8,44,-0.00415039,0.000366211
8,45,0.00146484,0.00134277
8,46,0.00256348,-0.000244141
8,47,-0.000610352,-0.00280762
9,0,0.00317383,0.00634766
9,1,0.00366211,-0.00170898
9,2,0.000610352,-0.000488281
9,3,-0.000244141,-0.00134277
9,4,-0.0020752,0.00109863
9,5,0.0012207,-0.00244141
9,6,-0.00610352,-0.00134277
9,7,-0.00341797,0.00524902
9,8,0.000976562,0.000610352
9,9,-0.00219727,0
9,10,0.00524902,-0.000610352
9,11,-0.00134277,-0.00439453
9,12,0.00158691,0.00341797
9,13,0.000610352,-0.00378418
9,14,-0.000610352,0.000366211
9,15,0.00561523,-0.00463867
9,16,-0.00366211,-0.0020752
9,17,-0.00402832,0.00012207
9,18,-0.00146484,-0.00427246
9,19,-0.000854492,-0.00292969
9,20,-0.00439453,0.00256348
9,21,-0.00195312,-0.000976562
9,22,-0.000854492,0.00134277
9,23,-0.00354004,0.000610352
9,24,0.000488281,-0.00341797
9,25,0.000244141,-0.00244141
9,26,0.00354004,0.0045166
9,27,0.000488281,0.000976562
9,28,-0.000366211,-0.00183105
9,29,0.00109863,0.00341797
9,30,-0.00109863,0.00341797
9,31,0.00378418,-0.00610352
9,32,0.00439453,-0.00646973
9,33,0.000976562,-0.00183105
9,34,0.00476074,0.000488281
9,35,-0.00390625,-0.00146484
9,36,0.00268555,-0.000610352
9,37,0.0012207,-0.00695801
9,38,0.0020752,-0.0020752
9,39,0.000366211,0.00415039
9,40,-0.00012207,-0.00317383
9,41,0.00183105,-0.0012207
9,42,-0.0045166,0.00305176
9,43,-0.000976562,-0.0012207
9,44,-0.00231934,-0.00195312
9,45,-0.00354004,0.00109863
9,46,-0.00231934,0.00012207
9,47,-0.00268555,0.00317383
10,0,-0.000854492,-0.00219727
10,1,-0.00354004,0.00170898
10,2,-0.00292969,-0.00317383
10,3,-0.000610352,0.00268555
10,4,-0.0032959,0.00280762
10,5,-0.000488281,-0.00378418
10,6,0,0.00537109
10,7,0.00378418,0.00195312
10,8,0.00317383,0.000854492
10,9,0.00170898,-0.00195312
10,10,0.00390625,0.000976562
10,11,0.00366211,-0.000610352
10,12,0.00268555,0.0020752
10,13,0.000732422,0.00183105
10,14,0.00183105,0.000732422
10,15,-0.00354004,-0.00158691
10,16,-0.000488281,-0.00427246
10,17,0.00256348,-0.00195312
10,18,0.00280762,0.0020752
10,19,-0.000366211,0.000366211
10,20,0.00219727,-0.0020752
10,21,-0.000610352,-0.00390625
10,22,0.00146484,-0.00231934
10,23,-0.00146484,0.000732422
10,24,0.00244141,0.0012207
10,25,-0.00109863,-0.00183105
10,26,0.000488281,0.00402832
10,27,-0.00231934,-0.00561523
10,28,0.00378418,-0.0045166
10,29,0.00134277,0.00158691
10,30,0,0.000732422
10,31,0.00439453,0.000488281
10,32,-0.000732422,-0.00134277
10,33,-0.000610352,0.00219727
10,34,-0.00219727,-0.00146484
10,35,-0.00012207,-0.00317383
10,36,-0.00512695,-0.00244141
10,37,-0.000366211,-0.00646973
10,38,-0.00256348,0.00292969
10,39,-0.000976562,-0.00219727
10,40,-0.000610352,-0.00439453
10,41,0.00378418,-0.00268555
10,42,-0.0020752,-0.00354004
10,43,-0.000732422,-0.000488281
10,44,0.00109863,0.000854492
10,45,0.00231934,-0.00146484
10,46,-0.000854492,-0.00341797
10,47,0,-0.00231934
11,0,-0.00146484,-0.000732422
11,1,0.00317383,0.000244141
11,2,0.00012207,-0.00231934
11,3,-0.000244141,0.0012207
11,4,-0.000610352,0.0012207
11,5,-0.00134277,0
11,6,-0.000732422,-0.000244141
11,7,-0.0020752,-0.0057373
11,8,-0.000366211,-0.00231934
11,9,0.00341797,-0.00195312
11,10,-0.00195312,0.000976562
