pixel,elem,real,imag
9,5,-0.0395892683,0.0490208757
9,6,-0.0124519539,0.0617677636
9,7,0.0175008973,0.0605322685
9,8,0.0612584250,-0.0147656477
9,9,0.0352623121,-0.0522204748
9,10,-0.0091948225,-0.0623359904
9,11,-0.0269866529,-0.0569391523
9,12,-0.0350918673,-0.0523348079
9,13,-0.0488377776,-0.0398162238
9,14,-0.0629115408,0.0035484823
9,15,-0.0440495896,0.0450549918
9,16,-0.0576516163,-0.0254286797
9,17,-0.0620751411,0.0108101372
9,18,-0.0456604931,0.0434195856
9,19,-0.0342885323,0.0528626994
9,20,-0.0278515665,0.0565197282
9,21,-0.0139179895,0.0614531587
9,22,0.0224963423,0.0588562594
9,23,0.0513587537,0.0365013971
9,24,0.0629994342,0.0010954504
9,25,0.0625188576,0.0078449625
9,26,0.0613176160,0.0145035371
9,27,0.0606378547,0.0171242063
9,28,0.0602560633,0.0184231698
9,29,0.0594090657,0.0209947284
9,30,0.0568153841,0.0272443184
9,31,0.0535661482,0.0331798917
9,32,-0.0586144366,0.0231247279
9,33,0.0016184026,0.0629904492
9,34,0.0597236218,0.0200839078
9,35,0.0621646568,-0.0102813382
9,36,0.0578355419,-0.0250037186
9,37,0.0393459643,-0.0492143650
9,38,-0.0327373416,-0.0538403379
9,39,-0.0618027761,0.0122840109
9,40,-0.0376199967,0.0505483560
9,41,-0.0602317819,0.0185071823
9,42,-0.0595106968,-0.0207045626
9,43,-0.0524280532,-0.0349507557
9,44,-0.0475959428,-0.0412903307
9,45,-0.0357376480,-0.0518961418
9,46,0.0018779908,-0.0629849346
9,47,0.0387653048,-0.0496737366
10,0,-0.0611820304,-0.0150772707
10,1,-0.0558265520,0.0292178616
10,2,-0.0224797882,0.0588613273
10,3,-0.0047390865,0.0628294194
10,4,0.0043787596,0.0628586084
10,5,0.0221404681,0.0589926965
10,6,0.0556554237,0.0295409894
10,7,0.0612667574,-0.0147202387
10,8,0.0476294515,-0.0412516948
10,9,0.0586928204,-0.0229258527
10,10,0.0629813137,-0.0019536382
10,11,0.0626605675,0.0066381283
10,12,0.0620615608,0.0108982259
10,13,0.0599990691,0.0192447190
10,14,0.0500936724,0.0382224562
10,15,0.0344057787,0.0527874189
10,16,-0.0596210634,0.0203932314
10,17,-0.0038123514,0.0628964237
10,18,0.0567206634,0.0274463303
10,19,0.0629959255,-0.0013608579
10,20,0.0609293944,-0.0160605171
10,21,0.0469524704,-0.0420199933
10,22,-0.0210096412,-0.0594032907
10,23,-0.0629315952,-0.0031589157
10,24,-0.0413690735,0.0475286322
10,25,-0.0580923684,0.0244044602
10,26,-0.0628983971,-0.0037293105
10,27,-0.0611737027,-0.0150995791
10,28,-0.0595403703,-0.0206190129
10,29,-0.0548019340,-0.0310977727
10,30,-0.0354633109,-0.0520859701
10,31,-0.0088481714,-0.0623867276
10,32,-0.0494552916,-0.0390450414
10,33,-0.0604519529,-0.0177702545
10,34,-0.0627171828,0.0060709723
10,35,-0.0610592907,0.0155562065
10,36,-0.0596924718,0.0201752884
10,37,-0.0559219743,0.0290345624
10,38,-0.0410487818,0.0478032929
10,39,-0.0202465701,0.0596668335
10,40,0.0574798017,0.0258112170
10,41,0.0586018177,-0.0231501117
10,42,0.0243192803,-0.0581263051
10,43,0.0048426248,-0.0628230495
10,44,-0.0052071151,-0.0627944116
10,45,-0.0246561933,-0.0579865746
10,46,-0.0587373777,-0.0228138126
10,47,-0.0573338240,0.0261416928
11,0,-0.0612818781,0.0146563700
11,1,-0.0146287841,0.0612894820
11,2,0.0480558669,0.0407550794
11,3,0.0608485836,0.0163615740
11,4,0.0629545043,0.0026637844
11,5,0.0580759649,-0.0244445976
11,6,0.0044486799,-0.0628521748
11,7,-0.0540532936,-0.0323808021
11,8,-0.0540490531,0.0323886632
11,9,-0.0601621088,0.0187286568
11,10,-0.0628817519,0.0040113301
11,11,-0.0629784797,-0.0019865458
11,12,-0.0628126870,-0.0049819935
11,13,-0.0620548799,-0.0109325141
11,14,-0.0577274620,-0.0252585443
11,15,-0.0501430797,-0.0381590595
11,16,-0.0463958208,-0.0426351062
11,17,-0.0574358108,-0.0259098155
11,18,-0.0626659502,-0.0065637703
11,19,-0.0629919201,0.0014741065
11,20,-0.0627691249,0.0054925190
11,21,-0.0615580745,0.0134452884
11,22,-0.0542228020,0.0320942147
11,23,-0.0414036863,0.0474964500
11,24,0.0386438065,0.0497698006
11,25,0.0624939775,0.0080593449
11,26,0.0500058089,-0.0383375871
11,27,0.0357746517,-0.0518697751
11,28,0.0272544672,-0.0568109716
11,29,0.0084410361,-0.0624423240
11,30,-0.0380319908,-0.0502385142
11,31,-0.0623899282,-0.0088227614
11,32,-0.0628861622,-0.0039580129
